Part,Qty for two arms,Bed-normal model axis,Layer height mm,Walls,Top/Bottom layers,Infill,Supports,Brim,Part-specific instruction
P26_Base_servo_mount,2,Y,0.20,5,6,35% gyroid,Build plate only,5 mm,"Local 100% infill around all servo-flange and base-attachment holes; keep the servo pocket free of support scars."
P01_Base_cradle_XZ,2,Y,0.20,5,6,25% gyroid,Build plate only,8 mm,"Keep the base face flat; use local 100% infill around the four bench-mount holes and servo-mount bosses."
P02_Yaw_rotor,2,-Y,0.20,6,8,40% gyroid,None,8 mm,"Use local 100% infill at the center hub and all four turret-foot bolt zones."
P03_Shoulder_servo_upright,2,Z,0.20,6,8,45% gyroid,Build plate only,8 mm,"Place seam away from the pivot bore; local 100% infill around the servo flange holes and pivot root."
P04_Shoulder_idler_upright,2,Z,0.20,6,8,45% gyroid,Build plate only,8 mm,"Place seam away from the axle bore; local 100% infill around the bore and foot connection."
P05_Turret_rounded_clamp_foot,2,X,0.20,5,6,40% gyroid,None,5 mm,"Keep bolt holes clean; local 100% infill within 8 mm of every hole."
P06_Turret_rounded_clamp_foot,2,X,0.20,5,6,40% gyroid,None,5 mm,"Same profile as P05."
P07_Turret_rounded_clamp_foot,2,X,0.20,5,6,40% gyroid,None,5 mm,"Same profile as P05."
P08_Turret_rounded_clamp_foot,2,X,0.20,5,6,40% gyroid,None,5 mm,"Same profile as P05."
P09_Shoulder_axle_bushing,2,Z,0.16,5,6,100%,None,3 mm,"Seam away from the bore; print one test first and hand-ream for a free-running axle fit."
STAR_yaw_SEATED_bridge,2,-Y,0.16,7,8,100%,None,5 mm,"Lay the maximum-Y broad face flat; do not generate support inside the horn pocket; verify the real horn seats fully without rocking."
P10_Upper_front_servo_plate,2,Z,0.20,5,6,35% gyroid,None,5 mm,"Local 100% infill around the shoulder horn interface, servo holes, and M3 stack holes."
P11_Upper_rear_plate,2,Z,0.20,5,6,35% gyroid,None,5 mm,"Local 100% infill around the shoulder axle and M3 stack holes."
P12_Upper_spacer_for_STAR,2,X,0.20,5,6,60% gyroid,None,5 mm,"Lay the 50.8 mm length in the bed plane; keep mating faces flat and chase the horizontal D3.8 passage with a 3.8 mm drill by hand."
P13_Upper_spacer_for_STAR,2,X,0.20,5,6,60% gyroid,None,5 mm,"Same profile and horizontal long-axis orientation as P12."
P14_Elbow_idler_standoff,2,Z,0.16,5,6,80%,None,4 mm,"Seam away from the bearing surface; do not scale the part."
P15_Elbow_axle_bushing,2,Z,0.16,5,6,100%,None,3 mm,"Seam away from the bore; print one test first and hand-ream for free rotation."
STAR_shoulder_SEATED_bridge,2,-Z,0.16,7,8,100%,None,5 mm,"Lay the maximum-Z full-rail face flat; do not support the horn pocket; verify the real horn seats fully before arm assembly."
P16_Forearm_front,2,Z,0.20,5,6,35% gyroid,None,5 mm,"Local 100% infill around elbow, gripper-frame, and M3 stack holes."
P17_Forearm_rear,2,Z,0.20,5,6,35% gyroid,None,5 mm,"Local 100% infill around elbow and M3 stack holes."
P18_Forearm_spacer_for_STAR,2,X,0.20,5,6,60% gyroid,None,5 mm,"Lay the 49.85 mm length in the bed plane; keep mating faces flat and chase the horizontal D3.8 passage with a 3.8 mm drill by hand."
P19_Forearm_spacer_for_STAR,2,X,0.20,5,6,60% gyroid,None,5 mm,"Same profile and horizontal long-axis orientation as P18."
STAR_elbow_SEATED_bridge,2,-Z,0.16,7,8,100%,None,5 mm,"Lay the maximum-Z full-rail face flat; do not support the horn pocket; verify full horn seating and center-screw access."
P38_Pivot_mount_and_axle,2,-Y,0.16,6,8,50% gyroid,Build plate only,8 mm,"Lay the maximum-Y broad face flat; use bed-only organic supports for isolated posts, block all journals, and use local 100% infill around the axle root and mounting holes."
P20_Gripper_servo_tray,2,Y,0.20,5,6,35% gyroid,Build plate only,5 mm,"Local 100% infill around servo flange and frame-mount holes; keep the servo pocket free of support scars."
P37_Pivot_follower_jaw,2,Y,0.16,6,8,50% gyroid,None,8 mm,"Local 100% infill at gear root, jaw pivot, and gripping-pad root; prohibit support on gear teeth."
P39_Pivot_axle_keeper,2,-Y,0.16,6,8,50% gyroid,Build plate only,8 mm,"Lay the maximum-Y broad face flat; use bed-only organic supports where preview shows islands, block both journals, and keep journal faces smooth."
P41_Pivot_horn_retainer,2,Y,0.12,8,10,100%,None,5 mm,"Reinforced 2.1 mm horn zone and full OD7 washer lands; keep the horn cavity and center-screw path clean."
P36_Pivot_driver_jaw,2,Y,0.16,7,8,55% gyroid,None,8 mm,"Reinforced 2.4 mm clamp ligaments; local 100% infill at both clamp lands, horn pocket, gear root, pivot, and gripping-pad root; prohibit support on gear teeth."
Mock_MG996R_PRINT_4,1 shared fit gauge,Y,0.24,2,4,12% grid,None,3 mm,"Nonfunctional fit gauge only; do not install as a load-bearing component."
